searched_at_utc,source_database,search_string,records_returned,status,from_cache
2026-05-24T14:15:11.863109+00:00,Semantic Scholar,"(""Vietnamese"" AND ""text embedding"" AND ""retrieval"")",10,ok,True
2026-05-24T14:15:11.864127+00:00,Semantic Scholar,"(""Vietnamese"" AND ""semantic search"" AND ""embedding"")",10,ok,True
2026-05-24T14:15:11.865445+00:00,Semantic Scholar,"(""Vietnamese"" AND ""information retrieval"" AND ""neural retrieval"")",10,ok,True
2026-05-24T14:15:11.866243+00:00,Semantic Scholar,"(""Vietnamese"" AND ""sentence embedding"" AND ""PhoBERT"")",10,ok,True
2026-05-24T14:15:11.867021+00:00,Semantic Scholar,"(""Vietnamese"" AND ""SBERT"" AND ""retrieval"")",10,ok,True
2026-05-24T14:15:11.867796+00:00,Semantic Scholar,"(""multilingual embedding"" AND ""Vietnamese"" AND ""retrieval"")",10,ok,True
2026-05-24T14:15:11.868654+00:00,Semantic Scholar,"(""BGE-M3"" AND ""Vietnamese"" AND ""retrieval"")",10,ok,True
2026-05-24T14:15:11.869443+00:00,Semantic Scholar,"(""multilingual-e5"" AND ""Vietnamese"")",10,ok,True
2026-05-24T14:15:19.992604+00:00,Semantic Scholar,"(""VN-MTEB"" OR ""Vietnamese Massive Text Embedding Benchmark"")",0,"failed: RetryError: HTTPSConnectionPool(host='api.semanticscholar.org', port=443): Max retries exceeded with url: /graph/v1/paper/search?que",False
2026-05-24T14:15:19.997801+00:00,Semantic Scholar,"(""MTEB"" AND ""Vietnamese"" AND ""embedding"")",10,ok,True
2026-05-24T14:15:28.446213+00:00,Semantic Scholar,"(""Vietnamese legal retrieval"" OR ""Vietnamese legal text retrieval"")",0,"failed: RetryError: HTTPSConnectionPool(host='api.semanticscholar.org', port=443): Max retries exceeded with url: /graph/v1/paper/search?que",False
2026-05-24T14:15:28.449736+00:00,Semantic Scholar,"(""Vietnamese medical retrieval"" OR ""Vietnamese biomedical retrieval"")",10,ok,True
2026-05-24T14:15:28.451563+00:00,Semantic Scholar,"(""Vietnamese news retrieval"")",10,ok,True
2026-05-24T14:15:37.120840+00:00,Semantic Scholar,"(""Vietnamese history"" AND ""retrieval"" AND ""embedding"")",0,"failed: RetryError: HTTPSConnectionPool(host='api.semanticscholar.org', port=443): Max retries exceeded with url: /graph/v1/paper/search?que",False
2026-05-24T14:15:37.124743+00:00,Semantic Scholar,"(""RAG"" AND ""Vietnamese"" AND ""embedding model"")",10,ok,True
2026-05-24T14:15:37.128752+00:00,Crossref,"(""Vietnamese"" AND ""text embedding"" AND ""retrieval"")",10,ok,True
2026-05-24T14:15:37.130040+00:00,Crossref,"(""Vietnamese"" AND ""semantic search"" AND ""embedding"")",10,ok,True
2026-05-24T14:15:37.130628+00:00,Crossref,"(""Vietnamese"" AND ""information retrieval"" AND ""neural retrieval"")",10,ok,True
2026-05-24T14:15:37.131183+00:00,Crossref,"(""Vietnamese"" AND ""sentence embedding"" AND ""PhoBERT"")",10,ok,True
2026-05-24T14:15:37.131782+00:00,Crossref,"(""Vietnamese"" AND ""SBERT"" AND ""retrieval"")",10,ok,True
2026-05-24T14:15:37.132271+00:00,Crossref,"(""multilingual embedding"" AND ""Vietnamese"" AND ""retrieval"")",10,ok,True
2026-05-24T14:15:37.132756+00:00,Crossref,"(""BGE-M3"" AND ""Vietnamese"" AND ""retrieval"")",10,ok,True
