paper_id,title,pdf_url,download_status,reason_if_failed,file_path
P3C1AF4AB6A,Which Works Best for Vietnamese? A Practical Study of Information Retrieval Methods across Domains,https://aclanthology.org/2026.findings-eacl.110.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P3C1AF4AB6A_which_works_best_for_vietnamese_a_practical_study_of_infor.pdf
P452D138CC5,ViRanker: A BGE-M3 & Blockwise Parallel Transformer Cross-Encoder for Vietnamese Reranking,https://arxiv.org/pdf/2509.09131v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P452D138CC5_viranker_a_bge_m3_blockwise_parallel_transformer_cross_enc.pdf
P0B2625DE40,VN-MTEB: Vietnamese Massive Text Embedding Benchmark,https://arxiv.org/pdf/2507.21500v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P0B2625DE40_vn_mteb_vietnamese_massive_text_embedding_benchmark.pdf
P3E9216E429,End-to-End Chatbot Evaluation with Adaptive Reasoning and Uncertainty Filtering,,not_downloaded,no open-access PDF URL in metadata,
P14C2442E0F,Comparative analysis of keyword-based and semantic search models for Vietnamese online news data,,not_downloaded,no open-access PDF URL in metadata,
P7E3EA2F69C,ViConBERT: Context-Gloss Aligned Vietnamese Word Embedding for Polysemous and Sense-Aware Representations,https://arxiv.org/pdf/2511.12249,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P7E3EA2F69C_viconbert_context_gloss_aligned_vietnamese_word_embedding.pdf
P50B17CFD56,Sentence-Aware Bahnaric-Vietnamese Lexical Mapping with Contrastive Contextual Representations,https://openreview.net/pdf/6775ea662454c0cd3d68eb91c0a4493d8284de4a.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P50B17CFD56_sentence_aware_bahnaric_vietnamese_lexical_mapping_with_co.pdf
P0361B383C0,Optimizing Legal Document Retrieval in Vietnamese with Semi-Hard Negative Mining,https://arxiv.org/pdf/2507.14619,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P0361B383C0_optimizing_legal_document_retrieval_in_vietnamese_with_sem.pdf
PB78F52731A,Optimizing Answer Generator in Vietnamese Legal Question Answering Systems Using Language Models,,not_downloaded,no open-access PDF URL in metadata,
P2A37AE1980,Ontology-Based Semantic Search for Physics Subject: A Case Study at a Vietnamese High School,,not_downloaded,no open-access PDF URL in metadata,
P2DEDC4E1C3,Lightweight Semantic Search For Low-Resource Languages: A Case Study In Vietnamese Information Retrieval,,not_downloaded,no open-access PDF URL in metadata,
PDD35BAA13F,LAURA: A Legal Agent Using Reasoning and Acting for Vietnamese Law,,not_downloaded,no open-access PDF URL in metadata,
P5D46BF53AC,Integrating Legal BERT-Based Embedding and ReAct Multi-Agent for an Intelligent Consulting System,,not_downloaded,no open-access PDF URL in metadata,
P8B11775FA2,Integrating Knowledge Graph with Retrieval-Augmented Generation for Vietnamese Legal Question Answering,,not_downloaded,no open-access PDF URL in metadata,
P6198AA66FC,Integrating Information Retrieval and Large Language Models for Vietnamese Legal Document Query Systems,,not_downloaded,no open-access PDF URL in metadata,
P06356296BC,Improving Vietnamese-English Cross-Lingual Retrieval for Legal and General Domains,https://aclanthology.org/2025.naacl-short.12.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P06356296BC_improving_vietnamese_english_cross_lingual_retrieval_for_l.pdf
P6204B2E835,Fusion-Based Document Retrieval for Low-Resource Vietnamese Legal Texts,,not_downloaded,no open-access PDF URL in metadata,
PC9507AEB3F,Enhancing Vietnamese Mental Health Question-Answering Systems: Adaptive Retrieval Augmented Generation Pipeline and Data Augmentation for Large Language Models,,not_downloaded,no open-access PDF URL in metadata,
PC293C88CF3,"BUILDING A VIETNAMESE MATH CHATBOT BASED ON RAG AND LLM: SYSTEM DESIGN, IMPLEMENTATION AND EXPERIMENTAL EVALUATION",https://hnuejs.edu.vn/ns/article/download/1284/649,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PC293C88CF3_building_a_vietnamese_math_chatbot_based_on_rag_and_llm_sy.pdf
PC00D3B132A,Agentic RAG-Based Legal Advisory Chatbot: A Knowledge-Driven Approach for Vietnamese Legal System,,not_downloaded,no open-access PDF URL in metadata,
P761355BB9F,Advancing Vietnamese Information Retrieval with Learning Objective and Benchmark,http://arxiv.org/pdf/2503.07470v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P761355BB9F_advancing_vietnamese_information_retrieval_with_learning_o.pdf
PFD69DB14E2,A Study of Multilingual Approaches to Vietnamese Information Retrieval,,not_downloaded,no open-access PDF URL in metadata,
PD3E00AB7FA,"A Multitask, Multilingual Prompting Vision Language Model for Vietnamese Language",,not_downloaded,no open-access PDF URL in metadata,
P8D65D24F1C,A Hybrid Ensemble Framework for Topic Extraction in Vietnamese Legal Documents,https://link.springer.com/content/pdf/10.1007/978-3-032-09318-9_20.pdf,failed,ValueError: response is not a PDF,
P4729393C78,A Comparative Study of Vietnamese Embedding Models for LLM-Based Automated Question Answering on DUT Regulations,,not_downloaded,no open-access PDF URL in metadata,
P24CB50278B,Vietnamese Legal Text Retrieval based on Sparse and Dense Retrieval approaches,,not_downloaded,no open-access PDF URL in metadata,
P1E2585E7BA,Vietnamese Legal Information Retrieval in Question-Answering System,https://arxiv.org/pdf/2409.13699v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P1E2585E7BA_vietnamese_legal_information_retrieval_in_question_answeri.pdf
P5182A0032F,Towards Comprehensive Vietnamese Retrieval-Augmented Generation and Large Language Models,http://arxiv.org/pdf/2403.01616v2,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P5182A0032F_towards_comprehensive_vietnamese_retrieval_augmented_gener.pdf
P6695B93B07,Sino-Vietnamese Text Transcription using Word Embedding Approach,,not_downloaded,no open-access PDF URL in metadata,
PC628139497,Improving Vietnamese Legal Document Retrieval using Synthetic Data,http://arxiv.org/pdf/2412.00657v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PC628139497_improving_vietnamese_legal_document_retrieval_using_synthe.pdf
P7340A11077,Enhancing retrieval performance of embedding models via fine-tuning on synthetic data in RAG chatbot for Vietnamese military science domain,,not_downloaded,no open-access PDF URL in metadata,
P0C2E70A588,NeCo@ALQAC 2023: Legal Domain Knowledge Acquisition for Low-Resource Languages through Data Enrichment,,not_downloaded,no open-access PDF URL in metadata,
P6C3701C8F2,Improving Vietnamese Legal Question-Answering System Based on Automatic Data Enrichment,https://link.springer.com/content/pdf/10.1007/978-3-031-60511-6_4.pdf,failed,ValueError: response is not a PDF,
PEEBE386838,Embedding force and attitude,,not_downloaded,no open-access PDF URL in metadata,
P000374DCFD,Cross-lingual Sentence Embedding for Low-resource Chinese-Vietnamese Based on Contrastive Learning,,not_downloaded,no open-access PDF URL in metadata,
P8E5B1BC8A7,Vietnamese information retrieval test collection development,,not_downloaded,no open-access PDF URL in metadata,
PD63FF37D74,Multi-stage Information Retrieval for Vietnamese Legal Texts,https://arxiv.org/pdf/2209.14494v2,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PD63FF37D74_multi_stage_information_retrieval_for_vietnamese_legal_tex.pdf
P39BE128C89,English-Vietnamese Cross-Lingual Similarity Estimation Using Language-Agnostic Representation from Multilingual Sentence Encoders,,not_downloaded,no open-access PDF URL in metadata,
PAF1BA7C0C1,ALQAC 2022: A Summary of the Competition,,not_downloaded,no open-access PDF URL in metadata,
P819B31FAD0,Kodiak@ALQAC2021: Deep Learning for Vietnamese Legal Information Processing,https://ieeexplore.ieee.org/iel7/9648573/9648578/09648744.pdf,failed,ValueError: response is not a PDF,
PCD46F47C47,Answering Legal Questions by Learning Neural Attentive Text Representation,https://www.aclweb.org/anthology/2020.coling-main.86.pdf,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PCD46F47C47_answering_legal_questions_by_learning_neural_attentive_tex.pdf
P1BD1678B5D,A Framework for Vietnamese Text Document Retrieval System Based on Phrasal Semantic Analysis,,not_downloaded,no open-access PDF URL in metadata,
PCCDCB0C0A5,Reference Extraction from Vietnamese Legal Documents,,not_downloaded,no open-access PDF URL in metadata,
P9CA34D8472,Improving Vietnamese WordNet using word embedding,,not_downloaded,no open-access PDF URL in metadata,
P4E648F55EA,Embedding Social Emotional Learning Core Content into Life- Skills Instruction for Vietnamese Primary Students,,not_downloaded,no open-access PDF URL in metadata,
PDA5700A112,Invited Talk #2 Vietnamese Neural Language Model for NLP Tasks With Limited Resources,,not_downloaded,no open-access PDF URL in metadata,
P0110CC9733,A Semantic Document Retrieval System with Semantic Search Technique Based on Knowledge Base and Graph Representation,,not_downloaded,no open-access PDF URL in metadata,
PC523D04077,VITERBI ALGORITHM FOR ENGLISH - VIETNAMESE SENTENCE RETRIEVAL IN EBMT,,not_downloaded,no open-access PDF URL in metadata,
P7511B1BF7E,Towards a Conceptual Search for Vietnamese Legal Text,,not_downloaded,no open-access PDF URL in metadata,
PF27F8656D0,A Vietnamese information retrieval system for product-price,https://arxiv.org/pdf/1911.11623v1,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PF27F8656D0_a_vietnamese_information_retrieval_system_for_product_pric.pdf
P0CC2D5889E,A Semantic Approach to Answer Vietnamese Questions in Opencourseware Retrieval System,,not_downloaded,no open-access PDF URL in metadata,
P9219C41AFD,The Prevalence of Social Embedding in Vietnamese Industrial Clusters,,not_downloaded,no open-access PDF URL in metadata,
PF4BD32485A,Image Indexing and Retrieval for a Vietnamese Folk Paintings Gallery,,not_downloaded,no open-access PDF URL in metadata,
P0D3515D7A8,ViDRILL: A Multi-Stage Retrieval Framework for Vietnamese Legal Document Search,,not_downloaded,no open-access PDF URL in metadata,
PDBDC6CDFCE,TopoLingEval: A framework for multilingual embedding geometry,,not_downloaded,no open-access PDF URL in metadata,
P1C909ED18D,ML-Embed: Inclusive and Efficient Embeddings for a Multilingual World,https://arxiv.org/pdf/2605.15081,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/P1C909ED18D_ml_embed_inclusive_and_efficient_embeddings_for_a_multilin.pdf
P5EEA2A9FC2,LEMUR: Robust Fine-Tuning for Multilingual Embedding Models for Retrieval,,not_downloaded,no open-access PDF URL in metadata,
PEDB9DC231B,LEMUR: A Corpus for Robust Fine-Tuning of Multilingual Law Embedding Models for Retrieval,https://arxiv.org/pdf/2602.09570,downloaded,,/Users/leyenlinh/Claude/Dev/rag-pdf-chatbot/papers/pdf/PEDB9DC231B_lemur_a_corpus_for_robust_fine_tuning_of_multilingual_law.pdf
PFB466B4728,Fine-Tuning BGE-M3 for Defense Language Embedding Model: The Impact of Negative Sample Selection in Contrastive Learning,,not_downloaded,no open-access PDF URL in metadata,
