paper_id,citation_key,research_problem,model_type,models_compared,multilingual_models,vietnamese_specific_models,dataset,domain,task,language,evaluation_metrics,best_result,main_finding,limitation,relevance_to_our_topic,possible_research_gap,quote_or_evidence,page_number_if_available
P3C1AF4AB6A,Nguyen2026_P3C1AF4AB6A,Which Works Best for Vietnamese? A Practical Study of Information Retrieval Methods across Domains,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: BM25,Not automatically identified.,Not automatically identified.,Detected terms only; verify use: BEIR; ALQAC,legal; medical,retrieval; embedding; RAG; benchmark,Vietnamese,Detected terms only; verify definitions/values: nDCG; Recall; MRR; Precision,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=10/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,"PDF evidence excerpt (<=24 words): Let M(·) denote a retrieval evaluation metric, such as Precision@k or Recall@k (Manning et al., 2008).",4
P452D138CC5,Dang2026_P452D138CC5,ViRanker: A BGE-M3 & Blockwise Parallel Transformer Cross-Encoder for Vietnamese Reranking,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: BGE-M3; XLM-R; PhoBERT; mBERT; BM25,Detected terms only: BGE-M3; XLM-R; mBERT,Detected terms only: PhoBERT,Detected terms only; verify use: mMARCO,general,retrieval; embedding; RAG; benchmark,Vietnamese,Detected terms only; verify definitions/values: nDCG; MRR; Accuracy,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=9/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,"PDF evidence excerpt (<=24 words): We benchmark ViRanker on MMARCO-VI [4], demonstrating strong early-rank accuracy (NDCG@3 = 0.6815, MRR@3 = 0.6641) and competitive deep-rank performance compared to PhoRanker, along ...",2
P0B2625DE40,Pham2026_P0B2625DE40,VN-MTEB: Vietnamese Massive Text Embedding Benchmark,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: LaBSE; PhoBERT,Detected terms only: LaBSE,Detected terms only: PhoBERT,Detected terms only; verify use: MTEB; VN-MTEB; BEIR,general,retrieval; embedding; RAG; benchmark,Vietnamese,Not automatically identified.,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=7/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,"PDF evidence excerpt (<=24 words): VN-MTEB: Vietnamese Massive Text Embedding Benchmark Loc Pham♠, Tung Luu♠, Thu Vo♠, Minh Nguyen♣, Viet Hoang♠, ♠GreenNode AI, Singapore ♣School of Electrical Engineering, International ...",1
P0361B383C0,Le2025_P0361B383C0,Optimizing Legal Document Retrieval in Vietnamese with Semi-Hard Negative Mining,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: BGE-M3; Sentence-BERT; BM25,Detected terms only: BGE-M3,Not automatically identified.,Not automatically identified.,legal,retrieval; embedding; RAG; benchmark,Vietnamese,Detected terms only; verify definitions/values: MRR; Accuracy; Precision,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=10/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,"PDF evidence excerpt (<=24 words): ... re-ranking, semi-hard neg- atives mined from Bi-Encoder candidates resulted in a 23% relative improvement over baseline models, with a 79.11% MRR@10 score on the ...",2
P048819CB98,Enevoldsen2025_P048819CB98,MMTEB: Massive Multilingual Text Embedding Benchmark,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: multilingual-e5; E5; BM25,Detected terms only: multilingual-e5; E5,Not automatically identified.,Detected terms only; verify use: MTEB; MMTEB,general,retrieval; embedding; RAG; benchmark,Multilingual,Not automatically identified.,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=4/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,"PDF evidence excerpt (<=24 words): For the primary metric, we use nDCG@10, unless otherwise specified by the dataset publication.",38
P06356296BC,Nguyen2025_P06356296BC,Improving Vietnamese-English Cross-Lingual Retrieval for Legal and General Domains,retrieval; embedding; benchmark,Detected terms only; verify comparison: BGE-M3,Detected terms only: BGE-M3,Not automatically identified.,Detected terms only; verify use: PhoMT,legal,retrieval; embedding; benchmark,Vietnamese,Detected terms only; verify definitions/values: nDCG; Recall; MRR; MAP,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=10/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,PDF evidence excerpt (<=24 words): C.1 Mono-lingual Retrieval Results Training Synthetic Retrieval VNLAWQC ZaloLegal2021 ZaloWikipediaQA Approach Augmentation Mode R@10 MRR@10 MAP@10 nDCG@10 R@10 MRR@10 MAP@10 nDCG@10 R@10 MRR@10 MAP@10 ...,10
P761355BB9F,Nguyen2025_P761355BB9F,Advancing Vietnamese Information Retrieval with Learning Objective and Benchmark,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: DPR; BM25,Not automatically identified.,Not automatically identified.,Detected terms only; verify use: MTEB; BEIR,general,retrieval; embedding; RAG; benchmark,Vietnamese,Detected terms only; verify definitions/values: MAP; Accuracy; Precision,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=9/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,PDF evidence excerpt (<=24 words): ... 77.15 86.22 HN 67.86 84.51 86.04 Table 2: Experiment results on reranking tasks using the mAP score. ...,6
P9F643D4414,Zhang2024_P9F643D4414,mGTE: Generalized Long-Context Text Representation and Reranking Models for Multilingual Text Retrieval,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: BGE-M3; multilingual-e5; E5; XLM-R; mBERT; BM25,Detected terms only: BGE-M3; multilingual-e5; E5; XLM-R; mBERT,Not automatically identified.,Detected terms only; verify use: MTEB; MIRACL; MLDR; BEIR,general,retrieval; embedding; RAG; benchmark,Multilingual,Detected terms only; verify definitions/values: nDCG; Recall; MAP; Precision,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=6/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,PDF evidence excerpt (<=24 words): E Text Retrieval Evaluation The retrieval process can be divided into two main stages: recall and reranking.,16
P1E2585E7BA,Ba2024_P1E2585E7BA,Vietnamese Legal Information Retrieval in Question-Answering System,retrieval; embedding; RAG,Detected terms only; verify comparison: BM25,Not automatically identified.,Not automatically identified.,Not automatically identified.,legal,retrieval; embedding; RAG,Vietnamese,Detected terms only; verify definitions/values: Accuracy; Precision,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=10/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,"PDF evidence excerpt (<=24 words): This is also reflected in Table IV - the recall for all k’s (k = 1, 10, 100) rise compared to BM25.",6
P5182A0032F,Duc2024_P5182A0032F,Towards Comprehensive Vietnamese Retrieval-Augmented Generation and Large Language Models,retrieval; embedding; RAG; benchmark,Detected terms only; verify comparison: PhoBERT; Sentence-BERT,Not automatically identified.,Detected terms only: PhoBERT,Not automatically identified.,general,retrieval; embedding; RAG; benchmark,Vietnamese,Detected terms only; verify definitions/values: MRR; Accuracy,Not automatically coded; verify result tables in full text.,Not automatically synthesized; use the traceable evidence excerpt for manual coding.,Automated extraction records evidence terms but does not infer comparative conclusions.,Selected during screening for Vietnamese/multilingual embedding or retrieval relevance; score=9/10.,Check whether this source directly compares multilingual and Vietnamese-specific embeddings on matched domain retrieval data.,PDF evidence excerpt (<=24 words): ... large and high-quality datasets for the training and evaluation of Retrieval-Augmented Generation (RAG) and Large Language Models (LLMs) for Vietnamese. ...,1
